Draw,Country,Artist,Song,Language,Place,Points
1, Lithuania,Bartas,Oki Doki,Lithuanian,6,67
2, Moldova,Ștefan Roșcovan,Ali Baba,"Romanian, English1",8,54
3, Netherlands,Anna and Senna,My Family,"Dutch, English",9,52
4, Serbia,Sonja Škorić,Čarobna noć ,Serbian,3,113
5, Ukraine,Yulia Gurska,Miy litak ,Ukrainian,14,28
6, Sweden,Josefine Ridell,Allt jag vill ha,Swedish,11,48
7, Russia,Sasha Lazin and Liza Drozd,Boy and Girl,Russian2,2,119
8, Latvia,Šarlote Lēnmane,Viva la Dance ,Latvian,10,51
9, Belgium,Jill and Lauren,Get Up!,"Dutch, English",7,61
10, Armenia,Vladimir Arzumanyan,Mama ,Armenian,1,120
11, Malta,Nicole Azzopardi,Knock Knock!....Boom! Boom!,"English, Maltese",13,35
12,Belarus Belarus,Daniil Kozlov,Muzyki svet ,Russian,5,85
13, Georgia,Mariam Kakhelishvili,Mari Dari,Imaginary,4,109
14, Macedonia,Anja Veterova,"Еооо, Еооо",Macedonian,12,38
